konto;bezeichnung
0001;Aufwendungen für die Ingang setzung
0010;Entgeltlich erworbene Konzessionen ,
0015;Konzessionen
0020;Gewerbliche Schutzrechte
0025;Ähnliche Rechte und Werte
0027;EDV-Software
0030;Lizenzen an gewerblichen Schutzrechten und
0035;Geschäfts- oder Firmenwert Geschäfts- oder Firmenwert Geschäfts-, Firmen- oder Praxiswert
0038;Geleistete Anzahlungen Anzahlungen auf Geschäfts- oder Firmenwert geleistete Anzahlungen (immaterielle
0039;Geleistete Anzahlungen auf immaterielle
0040;Geschäfts- oder Firmenwert Verschmelzungsmehrwert Geschäfts-, Firmen- oder Praxiswert
0043;Selbst geschaffene gewerbliche
0044;EDV-Software
0045;Lizenzen und Franchiseverträge
0046;Konzessionen und gewerbliche Schutzrechte
0047;Rezepte, Verfahren, Prototypen
0048;Immaterielle Vermögen sgegen stände in
0050;Grundstücke, grundstücksgleiche
0059;Grundstücksanteil häusliches Arbeitszimmer Bauten auf eigenen Grundstücken und
0060;Grundstücksgleiche Rechte ohne Bauten grundstücksgleiche Rechte ohne Bauten
0065;Unbebau te Grundstücke unbebau te Grundstücke
0070;Grundstücksgleiche Rechte (Erbbau recht,
0075;Grundstücke mit Substanzverzehr unbebau te Grundstücke
0079;Geleistete Anzahlungen und Anlagen
0080;Grundstücke, grundstücksgleiche
0085;Grundstückswerte eigene r bebau ter
0090;Geschäftsbauten
0100;Fabrikbauten
0110;Garagen
0111;Außenan lagen für Geschäfts-, Fabrik- und
0112;Hof- und Wegebe festigunge n
0113;Einrichtungen für Geschäfts-, Fabrik- und
0115;Andere Bauten
0120;Geleistete Anzahlungen und Anlagen
0129;Anzahlungen auf Geschäfts-, Fabrik- und
0140;Grundstücke, grundstücksgleiche
0145;Garagen
0146;Außenan lagen
0147;Hof- und Wegebe festigunge n
0148;Einrichtungen für Wohnbau ten
0149;Gebäudean teil häusliches Arbeitszimmer
0150;Geleistete Anzahlungen und Anlagen
0159;Anzahlungen auf Wohnbau ten auf eigenen
0160;Grundstücke, grundstücksgleiche
0165;Geschäftsbauten
0170;Fabrikbauten
0175;Garagen
0176;Außenan lagen
0177;Hof- und Wegebe festigunge n
0178;Einrichtungen für Geschäfts-, Fabrik-, Wohn-
0179;Andere Bauten
0180;Geleistete Anzahlungen und Anlagen
0189;Anzahlungen auf Geschäfts-, Fabrik- und
0190;Grundstücke, grundstücksgleiche
0191;Garagen
0192;Außenan lagen
0193;Hof- und Wegebe festigunge n
0194;Einrichtungen für Wohnbau ten
0195;Geleistete Anzahlungen und Anlagen
0199;Anzahlungen auf Wohnbau ten auf fremden
0200;Technische Anlagen und Maschinen Technische Anlagen und Maschinen technische Anlagen und Maschinen
0210;Maschinen
0220;Maschinengebundene Werkzeuge
0240;Technische Anlagen
0260;Transportanlagen und Ähnliches
0280;Betriebsvorrichtunge n
0290;Geleistete Anzahlungen und Anlagen
0299;Anzahlungen auf technische Anlagen und
0300;Andere Anlagen , Betriebs- und
0310;Andere Anlagen
0320;Pkw
0350;Lkw
0380;Sonstige Transportmittel
0400;Betriebsausstattung
0410;Geschäftsausstattung
0420;Büroeinrichtung
0430;Ladene inrichtung
0440;Werkzeuge
0450;Einbau ten in fremde Grundstücke
0460;Gerüst- und Schalungsmaterial
0480;Geringwertige Wirtschaftsgüter
0485;Wirtschaftsgüter größer 150 bis 1000 Euro
0490;Sonstige Betriebs- und Geschäftsausstattung
0498;Geleistete Anzahlungen und Anlagen
0499;Anzahlungen auf ande re Anlagen , Betriebs-
0500;Anteile an verbundenen Unternehmen Anteile an verbundenen Unternehmen
0501;Anteile an verbundenen Unternehmen,
0502;Anteile an verbundenen Unternehmen,
0503;Anteile an herrschende r oder mehrheitlich
0504;Anteile an herrschende r oder mit Mehrheit
0505;Ausleihungen an verbundene
0506;Ausleihungen an verbundene
0507;Ausleihungen an verbundene Unternehmen,
0508;Ausleihungen an verbundene Unternehmen,
0509;Anteile an verbundenen Unternehmen Anteile an herrschende r oder mehrheitlich
0510;Beteiligungen Beteiligunge n sonstige Beteiligungen , nach
0513;Typisch stille Beteiligunge n typisch stille Beteiligung
0516;Atypisch stille Beteiligunge n atypisch stille Beteiligung
0517;Beteiligungen an Kapitalgesellschaften Beteiligungen an Kapitalgesellschaften
0518;Beteiligungen an Personenge sellschaften Beteiligungen an
0519;Beteiligung einer GmbH & Co. KG an einer
0520;Ausleihungen an Unternehmen, mit
0523;Ausleihungen an Unternehmen, mit denen ein
0524;Ausleihungen an Unternehmen, mit denen ein
0525;Wertpapiere des Anlagevermögen s Wertpapiere des Anlagevermögen s Wertpapiere des Anlagevermögen s
0530;Wertpapiere mit
0535;Festverzinsliche Wertpapiere
0540;sonstige Ausleihungen Sonstige Ausleihunge n sonstige Ausleihunge n
0550;Darlehen
0570;Genossenschaftsanteile Genossenschaftsanteile zum langfristigen
0580;sonstige Ausleihungen Ausleihungen an Gesellschafter Ausleihungen an Gesellschafter, nicht
0583;Ausleihungen an stille Gesellschafter Ausleihungen an GmbH-Gesellschafter
0584;Ausleihungen an persönlich haftende
0586;Ausleihungen an Kommanditisten Ausleihungen an Kommanditisten
0595;Rückdeckungsansprüche aus
0600;Anleihen Anleihen, nicht konvertibel Anleihen
0601;Anleihen, nicht konvertibel - Restlaufzeit bis 1
0605;Anleihen, nicht konvertibel - Restlaufzeit 1 bis
0610;Anleihen, nicht konvertibel - Restlaufzeit
0615;Anleihen, konvertibel
0616;Anleihen, konvertibel - Restlaufzeit bis 1 Jahr
0620;Anleihen, konvertibel - Restlaufzeit 1 bis 5
0625;Anleihen, konvertibel - Restlaufzeit größer 5
0630;Verbindlichkeiten gegenübe r
0631;Verbindlichkeiten gegenübe r Kreditinstituten -
0640;Verbindlichkeiten gegenübe r Kreditinstituten -
0650;Verbindlichkeiten gegenübe r Kreditinstituten -
0660;Verbindlichkeiten gegenübe r Kreditinstituten
0661;Verbindlichkeiten gegenübe r
0670;Verbindlichkeiten gegenübe r Kreditinstituten
0680;Verbindlichkeiten gegenübe r Kreditinstituten
0689;bei Aufteilung der
0699;Verbindlichkeiten gegenübe r
0700;Verbindlichkeiten gegenübe r
0701;Verbindlichkeiten gegenübe r verbundenen
0705;Verbindlichkeiten gegenübe r verbundenen
0710;Verbindlichkeiten gegenübe r verbundenen
0715;Verbindlichkeiten gegenübe r
0716;Verbindlichkeiten gegenübe r Unternehmen,
0720;Verbindlichkeiten gegenübe r Unternehmen,
0725;Verbindlichkeiten gegenübe r Unternehmen,
0730;Andere Verbindlichkeiten gegenübe r
0731;Verbindlichkeiten gegenübe r Gesellschaftern -
0740;Verbindlichkeiten gegenübe r Gesellschaftern -
